"surv_year","disease_week","species","pool_size","WNV","ctval","state"
2022,28,"Culex pipiens/restuans/salinarius",2,1,27.78,"Nebraska"
2022,31,"Culex tarsalis",25,1,31.41,"Nebraska"
2022,31,"Culex pipiens/restuans/salinarius",11,1,21.62,"Nebraska"
2022,32,"Culex tarsalis",50,1,30.81,"Nebraska"
2022,32,"Culex tarsalis",50,1,27.26,"Nebraska"
2022,33,"Culex tarsalis",28,1,26.88,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",50,1,38.02,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",50,1,35.25,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",50,1,27.59,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",50,1,27.29,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",50,1,26.08,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",50,1,25.57,"Nebraska"
2022,33,"Culex pipiens/restuans/salinarius",46,1,23.27,"Nebraska"
2022,34,"Culex pipiens/restuans/salinarius",6,1,39.37,"Nebraska"
2022,34,"Culex tarsalis",37,1,35.87,"Nebraska"
2022,34,"Culex tarsalis",32,1,28.21,"Nebraska"
2022,34,"Culex tarsalis",50,1,27.17,"Nebraska"
2022,34,"Culex tarsalis",50,1,27.09,"Nebraska"
2022,34,"Culex tarsalis",50,1,23.71,"Nebraska"
2022,34,"Culex tarsalis",32,1,21.83,"Nebraska"
2022,34,"Culex pipiens/restuans/salinarius",40,1,21.28,"Nebraska"
2022,34,"Culex pipiens/restuans/salinarius",22,1,20.84,"Nebraska"
2022,34,"Culex tarsalis",50,1,22.5,"Nebraska"
2022,35,"Culex tarsalis",37,1,27.52,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",18,1,24.6,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",8,1,39.02,"Nebraska"
2022,35,"Culex tarsalis",50,1,35.61,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",4,1,25.3,"Nebraska"
2022,35,"Culex tarsalis",16,1,23.54,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,38.3,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,37.9,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,37.3,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,36.4,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,36.3,"Nebraska"
2022,35,"Culex tarsalis",27,1,34.8,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",38,1,34.3,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,34.2,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,30.6,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,30.3,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,29.3,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,28.3,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,28.1,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",31,1,27.2,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,26.96,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,26.9,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,26.1,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,25.5,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,25.2,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,23.8,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,23.4,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",41,1,23.1,"Nebraska"
2022,35,"Culex pipiens/restuans/salinarius",50,1,22.01,"Nebraska"
2022,36,"Culex tarsalis",42,1,22.9,"Nebraska"
2022,36,"Culex erraticus",28,1,38.5,"Nebraska"
2022,36,"Culex erraticus",6,1,34.2,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",24,1,29,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",24,1,27.8,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",50,1,25.5,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",17,1,25.5,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",50,1,25.1,"Nebraska"
2022,36,"Culex tarsalis",50,1,24.9,"Nebraska"
2022,36,"Culex tarsalis",50,1,24.1,"Nebraska"
2022,36,"Culex tarsalis",50,1,24.1,"Nebraska"
2022,36,"Culex tarsalis",50,1,23.8,"Nebraska"
2022,36,"Culex tarsalis",18,1,23.1,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",10,1,22.5,"Nebraska"
2022,36,"Culex tarsalis",50,1,22,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",50,1,21.2,"Nebraska"
2022,36,"Culex pipiens/restuans/salinarius",34,1,0,"Nebraska"
2022,36,"Culex tarsalis",50,1,39.3,"Nebraska"
2022,36,"Culex tarsalis",50,1,29.7,"Nebraska"
2022,36,"Culex tarsalis",50,1,29.1,"Nebraska"
2022,36,"Culex tarsalis",50,1,26.2,"Nebraska"
2022,37,"Culex tarsalis",14,1,20.1,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,19.4,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,37.2,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,37,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,30.6,"Nebraska"
2022,37,"Culex tarsalis",16,1,24.1,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",32,1,21.1,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,21,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,20.7,"Nebraska"
2022,37,"Culex pipiens/restuans/salinarius",50,1,20.4,"Nebraska"
2022,38,"Culex tarsalis",48,1,27.03,"Nebraska"
2022,38,"Culex pipiens/restuans/salinarius",50,1,23.75,"Nebraska"
2022,38,"Culex pipiens/restuans/salinarius",11,1,21.21,"Nebraska"
2022,38,"Culex pipiens/restuans/salinarius",1,1,19.13,"Nebraska"
2022,38,"Culex pipiens/restuans/salinarius",2,1,34.93,"Nebraska"
2023,25,"Culex pipiens/restuans/salinarius",13,1,34.3,"Nebraska"
2023,25,"Culex pipiens/restuans/salinarius",9,1,20,"Nebraska"
2023,25,"Culex tarsalis",50,1,30.8,"Nebraska"
2023,26,"Culex tarsalis",50,1,25.2,"Nebraska"
2023,26,"Culex tarsalis",10,1,34.4,"Nebraska"
2023,26,"Culex tarsalis",50,1,25.3,"Nebraska"
2023,26,"Culex pipiens/restuans/salinarius",25,1,0,"Nebraska"
2023,27,"Culex tarsalis",50,1,27.1,"Nebraska"
2023,28,"Culex tarsalis",50,1,36.1,"Nebraska"
2023,28,"Culex tarsalis",50,1,32.7,"Nebraska"
2023,28,"Culex pipiens/restuans/salinarius",47,1,31.9,"Nebraska"
2023,28,"Culex tarsalis",50,1,27.7,"Nebraska"
2023,28,"Culex pipiens/restuans/salinarius",10,1,27.5,"Nebraska"
2023,28,"Culex tarsalis",50,1,27.3,"Nebraska"
2023,28,"Culex tarsalis",50,1,23.1,"Nebraska"
2023,28,"Culex tarsalis",49,1,23,"Nebraska"
2023,28,"Culex tarsalis",50,1,22.6,"Nebraska"
2023,28,"Culex tarsalis",50,1,22,"Nebraska"
